original_field_name,choice_value,export_field_name
record_id,NA,record_id
enrollment_fversion,NA,enrollment_fversion
enrollment_fqueries,NA,enrollment_fqueries
enrollment_dag,NA,enrollment_dag
enrollment_admincom,NA,enrollment_admincom
incl_yn,NA,incl_yn
excl_yn,NA,excl_yn
elig_yn,NA,elig_yn
cons_yn,NA,cons_yn
enrl_yn,NA,enrl_yn
enroll_dt,NA,enroll_dt
infect_yn,NA,infect_yn
covidhx,NA,covidhx
index_dt,NA,index_dt
enrl_indexchangefu,1,enrl_indexchangefu___1
enrl_indexplusninety,NA,enrl_indexplusninety
acute_yn,NA,acute_yn
enrlcat,NA,enrlcat
enrlcat_yn,NA,enrlcat_yn
referral_type,NA,referral_type
spop,1,spop___1
spop,5,spop___5
spop,2,spop___2
spop,3,spop___3
spop,4,spop___4
spop,99,spop___99
enrl_reinfyn,NA,enrl_reinfyn
enrl_reinfdt,NA,enrl_reinfdt
enrl_reinfdtdelta,NA,enrl_reinfdtdelta
enrl_reinfacuteyn,NA,enrl_reinfacuteyn
enrl_reinf90daydt,NA,enrl_reinf90daydt
enrl_reinf90dayyn,NA,enrl_reinf90dayyn
enrl_reinfacute,NA,enrl_reinfacute
enroll_livefar,NA,enroll_livefar
enrollment_complete,NA,enrollment_complete
