"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,prescreening_survey,,text,"Record Id",,,,,,,,,,,,,
site_id,prescreening_survey,,dropdown,"Site ID","27, Vanderbilt University Medical Center|33, the University of Alabama at Birmingham|42, Columbia University Medical Center|49M, the Mayo Clinic|49P, Mountain Park Health Center|50, the University of Washington|52, Northwestern|68, Mass General Brigham|74, Mount Sinai|81, Cincinnati Children's Hospital or University of Cincinnati Health|95, Children's Hospital of Philadelphia",,,,,,,,,,,,
emerge_id,prescreening_survey,,text,"eMERGE ID",,,,,,,,,,,,,
prescreening_survey_header,prescreening_survey,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Thank you for your interest in the eMERGE study. Your answers to the questions will help us know whether you are eligible for the study. Your answers may also help us know how we can improve research participation in the future.<br /></span><br /><span style=""font-weight: normal;"">If you are not eligible to be in the study, we would still like to keep some basic information about you, including your: age, sex at birth, race, ethnicity, and disability status. We will use this information to understand who is interested in participating in the study. <u>Your name and other personal identifiers will not be kept if you are not in the study.</u></span></p></div>",,"<i>If No: We will <u><b>NOT</u></b> keep this information if you are not eligible to participate.</i>",,,,,,,,,,,
do_you_agree,prescreening_survey,,radio,"Do you agree?","1, Yes|2, No","<i>If No: We will <u><b>NOT</u></b> keep this information if you are not eligible to participate.</i>",,,,,,,LV,,,,
preferred_language,prescreening_survey,"<div class=""rich-text-field-label""><p><span style=""text-decoration: underline;"">The first questions will ask basic information about you.</span> </p></div>",radio,"What is your preferred language?","en, English|es, Spanish|ot, Other",,,,,,,,LV,,,,
age_deid,prescreening_survey,,text,Age,,,,,,,,,,,,,
you_or_your_child,prescreening_survey,,text,"You or Your Child (should be hidden)",,,,,,,,,,,,," @HIDDEN"
you_or_your_child_2,prescreening_survey,,text,"You or Your Child (should be hidden)",,,,,,,,,,,,," @HIDDEN"
your_or_your_childs_3,prescreening_survey,,text,"Your or Your Child's (should be hidden)",,,,,,,,,,,,," @HIDDEN"
your_or_your_childs,prescreening_survey,,text,"Your or Your Child's (should be hidden)",,,,,,,,,,,,," @HIDDEN"
your_or_your_childs_2,prescreening_survey,,text,"Your or Your Child's (should be hidden)",,,,,,,,,,,,," @HIDDEN"
do_you_or_does_your_caps,prescreening_survey,,text,"Do you or Does your Caps (should be hidden)",,,,,,,,,,,,," @HIDDEN"
do_you_or_does_your_caps_2,prescreening_survey,,text,"Do you or Does your Caps (should be hidden)",,,,,,,,,,,,," @HIDDEN"
you_or_your_child_partic,prescreening_survey,,text,"You Participate or Your Child Participates (should be hidden)",,,,,,,,,,,,," @HIDDEN"
from_you_or_from_your_child,prescreening_survey,,text,"A blood or saliva sample (should be hidden)",,,,,,,,,,,,," @HIDDEN"
diet_or_diet_of_your_child,prescreening_survey,,text,"Diet or Diet Of Your Child (should be hidden)",,,,,,,,,,,,," @HIDDEN"
history_or_history_for_your_child,prescreening_survey,,text,"History or History For Your Child (should be hidden)",,,,,,,,,,,,," @HIDDEN"
your_or_their,prescreening_survey,,text,"Your or Their (should be hidden)",,,,,,,,,,,,," @HIDDEN"
participating_or_enrolling,prescreening_survey,,text,"Participating or Enrolling (should be hidden)",,,,,,,,,,,,," @HIDDEN"
participate_or_them_to_participate,prescreening_survey,,text,"Participate or Them To Participate (should be hidden)",,,,,,,,,,,,," @HIDDEN"
have_you_or_has_your_child_caps,prescreening_survey,,text,"Have You or Has Your Child (should be hidden)",,,,,,,,,,,,," @HIDDEN"
recieve_or_recieve_their,prescreening_survey,,text,"Receive or Receive Their (should be hidden)",,,,,,,,,,,,," @HIDDEN"
